Env,Value
RuntimeVersion,2.5.0-alpha2
RuntimeCommit,ebacd986bba97ab154c706e839dea454ad41e3d8
RuntimeConfig,/etc/kata-containers/configuration.toml
Hypervisor,/usr/bin/qemu-system-x86_64
HypervisorVersion,QEMU emulator version 6.2.0 (kata-static)
Shim,/usr/local/bin/containerd-shim-kata-v2
ShimVersion,2.5.0-alpha2
machinename,neo-server
Date,2022-06-28T09:41:30.505
runtime,io.containerd.kata.v2
testname,memory footprint
containers,ksm,auto,waittime,image,command
20,0,,5,quay.io/prometheus/busybox:latest,tail -f /dev/null
average,qemus,virtiofsds,shims
137484.7KB,121401.1KB,891.25KB,15192.35KB
